codigo,descripcion
01.3.2.02,"SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES), POR CRANEOTOMÍA"
01.3.2.04,SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) VÍA ENDOSCÓPICA
01.3.2.05,SECCIÓN DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMÍA) POR CRANEOTOMÍA
01.3.2.06,SECCIÓN DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMÍA) VÍA ENDOSCÓPICA
01.3.2.07,SECCIÓN DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMÍA) POR CRANEOTOMÍA
01.3.2.08,SECCIÓN DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMÍA) VÍA ENDOSCÓPICA
01.3.2.09,SECCIÓN COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMÍA) POR CRANEOTOMÍA
01.3.2.10,SECCIÓN COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMÍA) VÍA ENDOSCÓPICA
01.3.2.11,AMIGDALOHIPOCAMPECTOMÍA SELECTIVA (TRACTO CEREBRAL) POR CRANEOTOMÍA
01.3.2.12,AMIGDALOHIPOCAMPECTOMÍA SELECTIVA (TRACTO CEREBRAL) CON ABLACIÓN
01.3.2.13,AMIGDALOHIPOCAMPECTOMÍA SUPRASELECTIVA (TRACTO CEREBRAL) VÍA ENDOSCÓPICA
01.3.2.14,TRACTOTOMÍA LOBAR POR CRANEOTOMÍA
01.3.2.15,TRACTOTOMÍA LOBAR VÍA ENDOSCÓPICA
01.3.2.16,CINGULOTOMÍA ESTEREOTÁCTICA
01.3.2.17,CINGULOTOMÍA POR CRANEOTOMÍA
01.3.2.18,CINGULOTOMÍA CON ABLACIÓN
01.3.2.19,TRACTOTOMÍA MESENCEFÁLICA U OTRA LESIÓN DE TALLO CEREBRAL
01.4.1.03,TALAMOTOMÍA POR ESTEREOTAXIA
01.4.2.01,PALIDOTOMÍA POR ESTEREOTAXIA
01.4.3.01,SUBTALAMOTOMÍA POR ESTEREOTAXIA
01.4.4.01,LESIÓN EN OTRAS ESTRUCTURAS SUBCORTICALES
01.5.1.01,"RESECCIÓN TUMOR ÓSEO, POR CRANEOTOMÍA"
01.5.1.02,"RESECCIÓN TUMOR ÓSEO, POR CRANIECTOMÍA"
01.5.1.03,ESCISIÓN DE LESIÓN CRANEAL
01.5.1.04,CORRECCIÓN DE DISPLASIA FIBROSA DEL CRÁNEO POR CRANIECTOMÍA
01.5.2.01,CRÁNEO FOSA ANTERIOR RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA CRANEOFACIAL ANTERIOR
01.5.2.02,"CUPS” CÓDIGO                                 DESCRIPCIÓN RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO, FOSA ANTERIOR, VÍA CRANEOFACIAL ANTEROLATERAL"
01.5.2.03,"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO, FOSA ANTERIOR, VÍA ANTEROLATERAL Y RINOTOMÍA LATERAL"
01.5.2.04,"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO, FOSA ANTERIOR, VÍA TRANSCIGOMÁTICA Y TRANSPALATAL"
01.5.2.05,"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO, FOSA ANTERIOR"
01.5.2.06,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA ENDONASAL (EXTENDIDA)
01.5.3.01,"CRÁNEO FOSA MEDIA AQUELLOS TUMORES EN SENO CAVERNOSO, APEX PETROSO, SENO ESFENOIDAL, REGIÓN SELAR RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR CRANEOTOMÍA FRONTAL Y OSTEOTOMÍA FRONTO ETMOIDAL"
01.5.3.02,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR ABORDAJE TRANSMAXILAR
01.5.3.03,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA
01.5.3.04,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBTEMPORAL Y OSTEOTOMÍA ZIGOMÁTICA
01.5.3.05,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBFRONTAL EXTENDIDA
01.5.3.06,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBTEMPORAL
01.5.3.07,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA PREAURICULAR INFRATENTORIAL Y CERVICOTOMÍA
01.5.3.08,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBFRONTAL
01.5.3.09,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR ORBITOTOMÍA LATERAL
01.5.3.10,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA TRANSESFENOIDAL
01.5.3.11,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA TRANSESFENOIDAL ENDOSCÓPICA
01.5.3.13,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA ENDONASAL (EXTENDIDA)
01.5.3.14,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA INFRATEMPORAL TRANSPTERIGOIDEA
01.5.4.01,"CRÁNEO FOSA POSTERIOR RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA EXTREMO LATERAL"
01.5.4.02,"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA FRONTO ORBITO ETMOIDAL RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA"
01.5.4.03,"POSTERIOR, VÍA SUBTEMPORAL PREAURICULAR INFRATEMPORAL Y CERVICOTOMÍA TRANSMANDIBULAR"
01.5.4.04,"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA TRANSORAL"
01.5.4.05,"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA MAXILOTOMÍA EXTENDIDA"
01.5.4.06,"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA TRANSLABERÍNTICA"
01.5.4.07,"CUPS” CÓDIGO                                 DESCRIPCIÓN RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA TRANSCOCLEAR"
01.5.4.08,"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA FOSA MEDIA"
01.5.4.09,"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA SUBOCCIPITAL RETROMASTOIDEA"
01.5.4.10,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR
01.5.4.11,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA ENDONASAL (EXTENDIDA)
01.5.4.12,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA
01.5.5.01,TOMA DE INJERTO ÓSEO DE CRÁNEO
01.5.5.02,RESECCIÓN DE TEJIDO CRANEAL
01.6.1.01,"RESECCIÓN TUMOR DE MENINGE CEREBRAL, POR CRANEOTOMÍA"
01.6.1.02,"RESECCIÓN TUMOR DE MENINGE CEREBRAL, POR CRANIECTOMÍA CON DUROPLASTIA Y CRANEOPLASTIA"
01.6.1.03,RESECCIÓN DE TUMORES EN MENINGES CEREBRALES
01.6.2.01,"RESECCIÓN TUMOR DE LA HOZ, POR CRANEOTOMÍA Y PLASTIA"
01.6.2.02,RESECCIÓN TUMORES DE LA HOZ
01.6.3.01,"RESECCIÓN TUMOR DEL TENTORIO, POR CRANEOTOMÍA"
01.6.3.02,RESECCIÓN TUMORES DEL TENTORIO
01.6.4.01,DRENAJE DE QUISTE ARACNOIDEO GUIADO POR ESTEREOTAXIA
01.6.4.02,RESECCIÓN DE OTRA LESIÓN DE MENINGE CEREBRAL
01.7.0.01,"COLECCIONES POR HEMORRAGIAS, ABSCESOS O QUISTES, ENTRE OTRAS CAUSAS DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMÍA"
01.7.0.02,"DRENAJE DE COLECCIONES INTRACEREBRALES, GUIADO POR ESTEREOTAXIA"
01.7.0.03,"DRENAJE DE COLECCIONES INTRACEREBRALES, POR PUNCIÓN DIRIGIDA"
01.7.0.04,"DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, POR CRANEOTOMÍA SUBOCCIPITAL"
01.7.0.05,"DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, GUIADO POR ESTEREOTAXIA"
01.7.0.06,DRENAJE DE COLECCIONES INTRACEREBRALES
01.7.2.01,"AQUELLOS TUMORES PRIMARIOS O METASTÁSICOS, LOCALIZADOS EN UNO O MÁS LÓBULOS CEREBRALES RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFÉRICO, POR CRANEOTOMÍA"
01.7.2.02,"RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFÉRICO, POR CRANEOTOMÍA OSTEOPLÁSTICA"
01.7.2.03,"RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFÉRICO, POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA"
01.7.2.04,"CUPS” CÓDIGO                                DESCRIPCIÓN RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFÉRICO, CON ESTIMULACIÓN CORTICAL"
01.7.2.05,"RESECCIÓN VOLUMÉTRICA DE TUMOR SUPRATENTORIAL HEMISFÉRICO, CON ESTEREOTAXIA"
01.7.2.06,RESECCIÓN DE TUMORES SUPRATENTORIALES HEMISFÉRICOS
01.7.2.09,DRENAJE DE QUISTE TUMORAL SUPRATENTORIAL
01.7.3.01,"RESECCIÓN TUMOR INTRACEREBELOSO, POR CRANEOTOMÍA SUBOCCIPITAL"
01.7.3.02,RESECCIÓN TUMORES INFRATENTORIALES HEMISFÉRICOS
01.7.3.03,DRENAJE DE QUISTE TUMORAL INFRATENTORIAL
01.7.4.01,SUPRATENTORIALES RESECCIÓN DE LESIÓN O TUMOR DE LÍNEA MEDIA SUPRATENTORIAL POR CRANEOTOMÍA
01.7.4.03,RESECCIÓN DE LESIÓN O TUMOR DE LÍNEA MEDIA SUPRATENTORIALES VÍA ENDOSCÓPICA
01.7.4.04,RESECCIÓN DE LESIÓN O TUMOR DE LA REGIÓN PINEAL VÍA SUPRATENTORIAL
01.7.4.05,RESECCIÓN DE LESIÓN O TUMOR DE LA REGIÓN PINEAL VÍA INFRATENTORIAL
01.7.4.06,RESECCIÓN DE LESIÓN O TUMOR DE LA REGIÓN PINEAL VÍA ENDOSCÓPICA
01.7.5.01,"INFRATENTORIALES RESECCIÓN DE TUMOR DE LÍNEA MEDIA INFRATENTORIAL, EXTRA AXIAL, POR CRANEOTOMÍA SUBOCCIPITAL"
01.7.5.02,"RESECCIÓN DE TUMOR DE LÍNEA MEDIA INFRATENTORIAL, EXTRA AXIAL, POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA"
01.7.5.04,"RESECCIÓN DE LESIONES EXOFÍTICAS SÓLIDAS EN TRONCO CEREBRAL (EXTRA AXIALES), POR CRANEOTOMÍA SUBOCCIPITAL"
01.7.5.05,"RESECCIÓN DE LESIONES EXOFÍTICAS SÓLIDAS EN TRONCO CEREBRAL (EXTRA AXIALES), POR CRANEOTOMÍA DE FOSA MEDIA"
01.7.5.08,"RESECCIÓN DE LESIONES SÓLIDAS O QUÍSTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMÍA SUBOCCIPITAL"
01.7.5.09,"RESECCIÓN DE LESIONES SÓLIDAS O QUÍSTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMÍA SUBTEMPORAL"
01.7.6.01,"SUPRATENTORIALES RESECCIÓN DE LESIONES VENTRICULARES SUPRATENTORIALES, POR CRANEOTOMÍA"
01.7.6.03,"RESECCIÓN DE LESIONES VENTRICULARES SUPRATENTORIALES, POR ENDOSCOPIA"
01.7.7.01,"INFRATENTORIALES RESECCIÓN DE LESIONES VENTRICULARES INFRATENTORIALES, POR CRANEOTOMÍA SUBOCCIPITAL"
01.7.7.02,"RESECCIÓN DE LESIONES VENTRICULARES INFRATENTORIALES, POR ENDOSCOPIA"
01.7.8.01,"MEDIA AQUELLAS POR HIDROCEFALIA OBSTRUCTIVA, QUISTES INTRAVENTRICULARES, TUMORES INTRAVENTRICULARES O CUPS” CÓDIGO                                DESCRIPCIÓN PERIVENTRICULARES, MALFORMACIONES INTRAVENTRICULARES O LESIONES PARASITARIAS O INFECCIOSAS RESECCIÓN DE LESIONES INTRAVENTRICULARES DE LÍNEA MEDIA POR CRANEOTOMÍA"
01.7.8.02,RESECCIÓN DE LESIONES INTRAVENTRICULARES DE LÍNEA MEDIA
01.7.8.03,RESECCIÓN DE LESIONES INTRAVENTRICULARES DE LÍNEA MEDIA VÍA ENDOSCÓPICA
01.7.8.06,DRENAJE DE QUISTE TUMORAL DE LÍNEA MEDIA INTRAVENTRICULAR POR CRANEOTOMÍA
01.7.8.07,DRENAJE DE QUISTE TUMORAL DE LÍNEA MEDIA
01.8.1.03,HEMISFERECTOMÍA CEREBRAL ANATÓMICA POR CRANEOTOMÍA
01.8.1.04,HEMISFERECTOMÍA CEREBRAL FUNCIONAL POR CRANEOTOMÍA
01.8.1.05,HEMISFERECTOMÍA CEREBRAL FUNCIONAL VÍA ENDOSCÓPICA
01.8.1.06,HEMISFEROTOMÍA CEREBRAL POR CRANEOTOMÍA
01.8.1.07,HEMISFEROTOMÍA CEREBRAL VÍA ENDOSCÓPICA
01.8.2.01,HEMISFERECTOMÍA CEREBELOSA POR CRANEOTOMÍA SUBOCCIPITAL
01.8.2.02,HEMISFERECTOMÍA CEREBELOSA
01.9.1.01,LOBECTOMÍA POR CRANEOTOMÍA
01.9.2.01,LOBECTOMÍA POR CRANIECTOMÍA
02.0.0.01,REMODELACIÓN CRANEANA TOTAL
02.0.1.05,"CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA, POR CRANEOTOMÍA CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO"
02.0.1.06,"FACIAL COMPLEJA, CON AVANCE FRONTO-ORBITARIO, CON O SIN DISTRACCIÓN"
02.0.1.07,"CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA, CON AVANCE FRONTO NASAL (LEFORT III)"
02.0.1.08,"CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA, CON AVANCE FRONTO MAXILAR (LEFORT II)"
02.0.1.09,APERTURA DE SUTURA CRANEAL CORRECCIÓN DE CRÁNEO ESTENOSIS MÚLTIPLE CON
02.0.1.10,BRAQUICEFALIA CON AVANCE FRONTO ORBITARIO POR CRANIECTOMÍA CORRECCIÓN DE CRÁNEO ESTENOSIS MÚLTIPLE CON
02.0.1.11,BRAQUICEFALIA CON AVANCE FRONTO ORBITARIO VÍA ENDOSCÓPICA
02.0.1.12,CORRECCIÓN DE ASIMETRÍA CRANEANA CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO
02.0.1.13,"FACIAL COMPLEJA, CON AVANCE FRONTO FACIAL, CON O SIN DISTRACCIÓN"
02.0.1.14,ROTACIÓN DE HEMICARAS O BIPARTICIÓN FACIAL
02.0.1.15,EXPANSIÓN CRANEANA ANTERIOR
02.0.1.16,EXPANSIÓN CRANEANA POSTERIOR
02.0.2.01,(ESQUIRLECTOMÍA) ESQUIRLECTOMÍA CRANEAL A TRAVÉS DE TREPANACIÓN
02.0.2.02,DESBRIDAMIENTO DE FRACTURA COMPUESTA (CONMINUTA) DE CRÁNEO REDUCCIÓN DE FRACTURA CRANEAL (HUNDIMIENTO SIN
02.0.2.03,COMPROMISO DE DURA) CON ESQUIRLECTOMÍA Y CRANEOPLASTIA REDUCCIÓN DE FRACTURA COMPUESTA (CONMINUTA) DE
02.0.2.04,"CRÁNEO, CON PLASTIA DURAL Y LIMPIEZA HEMOSTASIA CEREBRAL (DESBRIDAMIENTO) EN UN SOLO TIEMPO"
02.0.2.05,ELEVACIÓN DE FRAGMENTOS DE FRACTURA DE CRÁNEO
02.0.2.06,REDUCCIÓN DE FRACTURA CRANEAL VÍA ENDOSCÓPICA
02.0.4.01,"CORRECCIÓN DE DEFECTO ÓSEO PREEXISTENTE POR CRANEOPLASTIA, CON INJERTO AUTÓLOGO O HETERÓLOGO"
02.0.4.02,INJERTO ÓSEO EN CRÁNEO
02.0.5.01,INSERCIÓN O SUSTITUCIÓN DE DISPOSITIVO DE FIJACIÓN U OSTEOSÍNTESIS EN CRÁNEO
02.0.5.02,RECONSTRUCCIÓN PROTÉSICA DE BÓVEDA CRANEAL CON DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS
02.0.5.03,RECONSTRUCCIÓN PROTÉSICA DE UNIÓN CRANEOFACIAL CON
02.0.6.01,CORRECCIÓN DISPLASIA FIBROSA POR CRANEOPLASTIA
02.0.6.02,OSTEOPLASTIA CRANEAL
02.0.7.01,EXTRACCIÓN O SUSTITUCIÓN DE DISPOSITIVO DE FIJACIÓN U
02.1.1.01,"CORRECCIÓN DE DESGARRO DURAL POST TRAUMÁTICO EN BÓVEDA CRANEANA, POR CRANEOTOMÍA"
02.1.1.02,"CORRECCIÓN DE DESGARRO DURAL POST TRAUMÁTICO EN BÓVEDA CRANEANA, CON PLASTIA DURAL"
02.1.1.03,"CORRECCIÓN DE DESGARRO DURAL EN BASE DE CRÁNEO, POR CRANEOTOMÍA"
02.1.1.04,"CORRECCIÓN DE DESGARRO DURAL EN BASE DE CRÁNEO, CON PLASTIA AUTÓLOGA O HETERÓLOGA, POR CRANEOTOMÍA"
02.1.1.05,SUTURA SIMPLE DE DURAMADRE CEREBRAL
02.1.1.06,PLASTIA DURAL CON INJERTO
02.1.2.01,"POR MENINGOCELE, MENINGOENCEFALOCELE, MENINGOHIDROENCEFALOCELE ENTRE OTRAS CAUSAS CORRECCIÓN FÍSTULA LCR EN BÓVEDA CRANEANA, POR CRANEOTOMÍA Y CRANEOPLASTIA"
02.1.2.02,"CORRECCIÓN FÍSTULA LCR EN BÓVEDA CRANEANA, POR DUROPLASTIA"
02.1.2.03,"CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO ANTERIOR, VÍA SUBFRONTAL"
02.1.2.04,"CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO ANTERIOR, VÍA TRANSESFENOIDAL"
02.1.2.05,"CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO ANTERIOR, VÍA ENDOSCÓPICA TRANSNASAL"
02.1.2.06,"CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO MEDIO, POR CRANIECTOMÍA"
02.1.2.07,"CUPS” CÓDIGO                                 DESCRIPCIÓN CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO MEDIO, VÍA TRANSESFENOIDAL"
02.1.2.08,"CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO POSTERIOR, VÍA SUBOCCIPITAL"
02.1.2.09,"CORRECCIÓN DE MENINGOCELE, POR CRANIECTOMÍA"
02.1.2.10,"CORRECCIÓN DE MENINGOCELE, CON CRANEOPLASTIA"
02.1.2.11,"CORRECCIÓN DE MENINGOCELE DE FOSA ANTERIOR, POR CRANIECTOMÍA Y PLASTIA DE MENINGE"
02.1.2.12,"CORRECCIÓN DE MENINGOCELE DE FOSA ANTERIOR, CON AVANCE FRONTO ORBITARIO Y PLASTIA DE MENINGE"
02.1.2.13,"CORRECCIÓN DE MENINGOCELE DE FOSA ANTERIOR, VÍA TRANSNASAL ENDOSCÓPICA"
02.1.2.14,CORRECCIÓN DE MENINGOENCEFALOCELE POR CRANIECTOMÍA CON PLASTIA DE MENINGE Y CRANEOPLASTIA
02.1.2.15,REPARACIÓN DE MENINGE CEREBRAL
02.1.2.16,CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO MEDIO VÍA
02.1.3.01,RECONSTRUCCIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA CRANEAL
02.1.3.02,RECONSTRUCCIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA ENDONASAL ENDOSCÓPICA
02.1.3.03,RECONSTRUCCIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA CRANEAL
02.1.3.04,RECONSTRUCCIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA ENDONASAL ENDOSCÓPICA
02.1.3.05,RECONSTRUCCIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA CRANEAL
02.1.3.06,RECONSTRUCCIÓN DE LA BASE DEL CRÁNEO FOSA VÍA ENDONASAL ENDOSCÓPICA
02.1.3.07,RECONSTRUCCIÓN DE LA BÓVEDA DEL CRÁNEO UNILATERAL
02.1.3.08,RECONSTRUCCIÓN DE LA BÓVEDA DEL CRÁNEO BILATERAL
02.2.1.01,DERIVACIÓN DE VENTRÍCULO A CISTERNA MAGNA
02.2.1.02,CRANEOSTOMÍA CON FENESTRACIÓN ENDOSCÓPICA
