codigo,descripcion,uvr,valor,capitulo,ref
016102,"RESECCION TUMOR DE MENINGE CEREBRAL, POR CRANIECTOMIA CON DUROPLASTIA",305,,ARTICULO 1,01132
016201,"RESECCION TUMOR DE LA HOZ , POR CRANEOTOMIA Y PLASTIA",305,,ARTICULO 1,01132
016301,"RESECCION TUMOR DEL TENTORIO, POR CRANEOTOMIA",190,,ARTICULO 1,01132
015201,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA",730,,ARTICULO 1,01133
015203,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA",730,,ARTICULO 1,01133
015204,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA",730,,ARTICULO 1,01133
015302,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR ABORDAJE",730,,ARTICULO 1,01133
015305,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA SUBFRONTAL",730,,ARTICULO 1,01133
015306,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA POR VIA",700,,ARTICULO 1,01133
015308,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA SUBFRONTAL",730,,ARTICULO 1,01133
015310,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA",820,,ARTICULO 1,01133
017202,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMIA",815,,ARTICULO 1,01133
017204,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, CON ESTIMULACION",700,,ARTICULO 1,01133
017601,"RESECCION DE LESIONES VENTRICULARES SUPRATENTORIALES, POR CRANEOTOMIA",700,,ARTICULO 1,01133
015202,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA ANTERIOR, POR VIA",730,,ARTICULO 1,01134
015301,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR CRANEOTOMIA",730,,ARTICULO 1,01134
015304,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA",730,,ARTICULO 1,01134
015307,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR VIA",730,,ARTICULO 1,01134
015309,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR ORBITOTOMIA",730,,ARTICULO 1,01134
017201,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMIA",730,,ARTICULO 1,01134
015311,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA , POR VIA TRANSESFENOIDAL ENDOSCOPICA (134)",685,,ARTICULO 1,01135
071400,BIOPSIA DE HIPOFISIS POR VIA TRANSESFENOIDAL SOD (134),635,,ARTICULO 1,01135
076200,ESCISION PARCIAL DE HIPOFISIS VIA TRANSESFENOIDAL SOD (134),635,,ARTICULO 1,01135
076500,ESCISION TOTAL DE HIPOFISIS POR VIA TRANSESFENOIDAL SOD (134),685,,ARTICULO 1,01135
017401,"RESECCION DE TUMOR DE LINEA MEDIA SUPRATENTORIAL, POR CRANEOTOMIA",945,,ARTICULO 1,01136
017801,"RESECCION DE LESIONES INTRAVENTICULARES DE LINEA MEDIA , POR CRANEOTOMIA",945,,ARTICULO 1,01136
075300,ESCISION PARCIAL DE GLANDULA PINEAL SOD,945,,ARTICULO 1,01136
075400,ESCISION TOTAL DE GLANDULA PINEAL (PINEALECTOMIA) SOD,945,,ARTICULO 1,01136
076100,ESCISION PARCIAL DE HIPOFISIS POR VIA TRANSFRONTAL SOD,945,,ARTICULO 1,01136
076400,ESCISION TOTAL DE HIPOFISIS POR VIA TRANSFRONTAL SOD,945,,ARTICULO 1,01136
017301,"RESECCION TUMOR INTRACEREBELOSO, POR CRANEOTOMIA SUBOCCIPITAL",945,,ARTICULO 1,01137
017501,"RESECCION DE TUMOR DE LINEA MEDIA INFRATENTORIAL, EXTRA AXIAL, POR",945,,ARTICULO 1,01137
017504,RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL ( EXTRA,945,,ARTICULO 1,01137
017505,RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL ( EXTRA,945,,ARTICULO 1,01137
017508,RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL),945,,ARTICULO 1,01137
017509,RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL),945,,ARTICULO 1,01137
015401,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA",945,,ARTICULO 1,01138
015402,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA FRONTO",945,,ARTICULO 1,01138
015403,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA",945,,ARTICULO 1,01138
015404,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA",945,,ARTICULO 1,01138
015405,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR , POR VIA",945,,ARTICULO 1,01138
015406,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA",945,,ARTICULO 1,01138
015407,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA",945,,ARTICULO 1,01138
015408,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, POR VIA FOSA",945,,ARTICULO 1,01138
015409,"RESECCION DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR , POR VIA",945,,ARTICULO 1,01138
017701,"RESECCION DE LESIONES VENTRICULARES INFRATENTORIALES, POR CRANEOTOMIA",945,,ARTICULO 1,01138
028302,COLOCACION EPIDURAL DEL ELECTRODO DE NEUROESTIMULACION INTRACRANEAL,290,,ARTICULO 1,01140
028304,IMPLANTACION DE RECEPTOR ELECTROENCEFALOGRAFICO POR TREPANACION,290,,ARTICULO 1,01140
028303,IMPLANTACION PARENQUIMATOSA DEL ELECTRODO DE NEUROESTIMULACION,230,,ARTICULO 1,01141
019100,LOBECTOMIA POR CRANEOTOMIA SOD,375,,ARTICULO 1,01143
019200,LOBECTOMIA POR CRANIECTOMIA SOD,375,,ARTICULO 1,01143
018101,HEMISFERECTOMIA CEREBRAL POR CRANEOTOMIA,610,,ARTICULO 1,01145
018201,HEMISFERECTOMIA CEREBELOSA POR CRANEOTOMIA SUBOCCIPITAL,610,,ARTICULO 1,01145
044101,"DESCOMPRESION NEUROVASCULAR DE NERVIO TRIGEMINAL, POR CRANEOTOMIA",355,,ARTICULO 1,01147
044203,DESCOMPRESION NEUROVASCULAR DE NERVIOS IX Y X,355,,ARTICULO 1,01147
044204,DESCOMPRESION NEUROVASCULAR DE NERVIO ACUSTICO VESTIBULAR,355,,ARTICULO 1,01147
044205,DESCOMPRESION INTRACANALICULAR DE NERVIO FACIAL,355,,ARTICULO 1,01147
044206,"DESCOMPRESION NEUROVASCULAR DE NERVIO FACIAL , POR CRANEOTOMIA",355,,ARTICULO 1,01147
044207,DESCOMPRESION DE NERVIO FACIAL INTRATEMPORAL VIA TRANSLABERINTICA,355,,ARTICULO 1,01147
044208,DESCOMPRESION DE NERVIO FACIAL INTRATEMPORAL VIA TRANSMASTOIDEA,355,,ARTICULO 1,01147
013202,"SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) , POR CRANEOTOMIA (132)",335,,ARTICULO 1,01148
013106,"DRENAJE DE ESPACIO SUBDURAL, POR DERIVACION SUBDURO PERITONEAL",210,,ARTICULO 1,01150
022101,DERIVACION DE VENTRICULO A CISTERNA MAGNA,210,,ARTICULO 1,01150
022202,DERIVACION VENTRICULAR A ESPACIO SUBARACNOIDEO CERVICAL [TORKILSEN],210,,ARTICULO 1,01150
022300,"COLOCACION DE CATETER VENTRICULO PERITONEAL, SIN VALVULA SOD",210,,ARTICULO 1,01150
023201,DERIVACION VENTRICULOATRIAL,210,,ARTICULO 1,01150
023401,VENTRICULOPERITONEOSTOMIA,210,,ARTICULO 1,01150
023402,DERIVACION CISTO PERITONEAL [QUISTE VENTRICULAR A PERITONEO],210,,ARTICULO 1,01150
023500,DERIVACION VENTRICULAR AL APARATO URINARIO SOD,210,,ARTICULO 1,01150
549003,COLOCACION DE CATETERES PARA DERIVACION VENTRICULOPERITONEAL Y,210,,ARTICULO 1,01150
013105,"DRENAJE DE ESPACIO SUBARACNOIDEO, POR DERIVACION CISTO PERITONEAL",210,,ARTICULO 1,01151
024100,IRRIGACION DE DERIVACION VENTRICULAR SOD,120,,ARTICULO 1,01152
024201,REEMPLAZO PARCIAL DE DERIVACION,120,,ARTICULO 1,01152
024202,REEMPLAZO TOTAL DE DERIVACION,140,,ARTICULO 1,01153
024300,RETIRO DE DERIVACION SOD,125,,ARTICULO 1,01154
037100,DERIVACION SIRINGO PERITONEAL ESPINAL SOD,190,,ARTICULO 1,01155
037200,DERIVACION SIRINGO SUBDURAL ESPINAL SOD,190,,ARTICULO 1,01155
037300,DERIVACION LUMBO PERITONEAL SOD,190,,ARTICULO 1,01155
037400,DERIVACION LUMBAR EXTERNA SOD,190,,ARTICULO 1,01155
037500,DERIVACION SIRINGO PLEURAL ESPINAL SOD,190,,ARTICULO 1,01155
022201,COLOCACION DE CATETER VENTRICULAR AL EXTERIOR,150,,ARTICULO 1,01156
011304,BIOPSIA ESTEREOTAXICA DE CEREBRO (131),250,,ARTICULO 1,01161
016401,DRENAJE DE QUISTE ARACNOIDEO GUIADO POR ESTEREOTAXIA (2),250,,ARTICULO 1,01161
017002,"DRENAJE DE COLECCIONES INTRACEREBRALES , GUIADO POR ESTEREOTAXIA (2)",250,,ARTICULO 1,01161
017005,"DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR , GUIADO POR ESTEREOTAXIA (2)",250,,ARTICULO 1,01161
013201,SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) POR ABLACION,420,,ARTICULO 1,01163
014101,TALAMOTOMIA POR ESTEREOTAXIA [ESTIMULACION Y/O ABLACION DE UNO DE SUS,420,,ARTICULO 1,01163
014201,PALIDOTOMIA POR ESTEREOTAXIA,420,,ARTICULO 1,01163
028301,IMPLANTACION DE NEUROESTIMULADOR POR CRANEOTOMIA GUIADA POR,320,,ARTICULO 1,01165
028601,INJERTO INTRACEREBRAL DE TEJIDO SUPRARRENAL,320,,ARTICULO 1,01165
012101,CRANEALIZACION DE SENO FRONTAL,230,,ARTICULO 1,01170
021101,"CORRECCION DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA, POR",135,,ARTICULO 1,01170
021102,"CORRECCION DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA, CON",135,,ARTICULO 1,01170
021103,"CORRECCION DE DESGARRO DURAL EN BASE DE CRANEO, POR CRANEOTOMIA",135,,ARTICULO 1,01170
021104,"CORRECCION DE DESGARRO DURAL EN BASE DE CRANEO, CON PLASTIA AUTOLOGA O",135,,ARTICULO 1,01170
021202,"CORRECCION FISTULA LCR EN BOVEDA CRANEANA, POR DUROPLASTIA",135,,ARTICULO 1,01170
035401,PLASTIA O INJERTO DE MENINGE ESPINAL,135,,ARTICULO 1,01170
020500,"INSERCION O SUSTITUCION DE PLACA O MALLA CRANEAL (METALICA, ACRILICA) SOD",190,,ARTICULO 1,01171
020601,CORRECCION DISPLASIA FIBROSA POR CRANEOPLASTIA,190,,ARTICULO 1,01171
021201,"CORRECCION FISTULA LCR EN BOVEDA CRANEANA, POR CRANEOTOMIA Y",365,,ARTICULO 1,01172
021204,"CORRECCION FISTULA LCR EN BASE DE CRANEO ANTERIOR, POR VIA",325,,ARTICULO 1,01172
021207,"CORRECCION FISTULA LCR EN BASE DE CRANEO MEDIO, POR VIA TRANSESFENOIDAL",325,,ARTICULO 1,01172
021203,"CORRECCION FISTULA LCR EN BASE DE CRANEO ANTERIOR, POR VIA SUBFRONTAL",250,,ARTICULO 1,01173
021206,"CORRECCION FISTULA LCR EN BASE DE CRANEO MEDIO, POR CRANIECTOMIA",250,,ARTICULO 1,01173
021208,CORRECCION FISTULA EN LCR EN BASE DE CRANEO POSTERIOR POR VIA,250,,ARTICULO 1,01173
011302,BIOPSIA ABIERTA ( CRANEOTOMIA) DE CEREBRO,210,,ARTICULO 1,01174
011303,BIOPSIA DE CEREBRO POR TREPANACION,210,,ARTICULO 1,01174
071300,BIOPSIA DE HIPOFISIS POR VIA TRANSFRONTAL SOD,210,,ARTICULO 1,01174
071700,BIOPSIA DE GLANDULA PINEAL SOD,210,,ARTICULO 1,01174
017209,DRENAJE DE QUISTE TUMORAL SUPRATENTORIAL,385,,ARTICULO 1,01175
168401,DESCOMPRESIÓN DE ÓRBITA VIA TECHO DE ORBITA (TECNICA TRANSCRANEANA DE,350,,ARTICULO 1,01176
168402,DESCOMPRESIÓN DE ÓRBITA VIA LATERAL (TECNICA DE KROMLIEN),275,,ARTICULO 1,01177
168403,DESCOMPRESIÓN DE ÓRBITA VIA INFERIOR Y MEDIAL (TECNICA DE,275,,ARTICULO 1,01177
015104,CORRECCION DE DISPLASIA FIBROSA DEL CRANEO POR CRANIECTOMIA,315,,ARTICULO 1,01179
028201,IMPLANTACION DE CATETER INTRACEREBRAL (3),75,,ARTICULO 1,01180
028202,IMPLANTACION DE DISPOSITIVO EXTRADURAL,75,,ARTICULO 1,01180
028203,"IMPLANTACION DE DISPOSITIVO INTRACEREBRAL ( ELECTRODOS, TRASDUCTORES DE PIC) (3)",75,,ARTICULO 1,01180
025000,"IMPLANTE DE CATETER (INTRAVENTRICULAR, INTRACISTICO) CON RESERVORIO SUBCUTANEO SOD (173)",125,,ARTICULO 1,01181
035101,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON INSTRUMENTACION VIA",285,,ARTICULO 1,01200
035103,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON DESCOMPRESION VIA",270,,ARTICULO 1,01200
035107,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON RESECCION DE CELE ",345,,ARTICULO 1,01201
035104,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON FUSION OSEA E INJERTO",435,,ARTICULO 1,01202
035105,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON RESECCION DE TABIQUE",270,,ARTICULO 1,01202
035106,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON SECCION DE FILUM",275,,ARTICULO 1,01203
035102,"CORRECCION DE MALFORMACION DE MEDULA ESPINAL, CON MIELOTOMIA POSTERIOR",270,,ARTICULO 1,01204
035108,CIERRE O LIGADURA DE COMUNICACION PERSISTENTE ENTRE PIEL Y MEDULA ESPINAL,155,,ARTICULO 1,M01336
934100,TRACCION ESPINAL CON EMPLEO DE DISPOSITIVO CRANEAL SOD,65,,ARTICULO 1,01210
793930,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),425,,ARTICULO 1,01212
793931,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),425,,ARTICULO 1,01212
778931,RESECCION DE APOFISIS ODONTOIDES POR ABORDAJE TRANSORAL (94),450,,ARTICULO 1,01213
792932,REDUCCIÓN ABIERTA FRACTURA SIN FIJACION DE COLUMNA CERVICAL VIA,310,,ARTICULO 1,01214
793932,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),330,,ARTICULO 1,01214
793933,REDUCCION ABIERTA DE FRACTURA DE ODONTOIDES VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),330,,ARTICULO 1,01214
793937,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),330,,ARTICULO 1,01214
793938,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),330,,ARTICULO 1,01214
793942,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),330,,ARTICULO 1,01214
793943,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),330,,ARTICULO 1,01214
793946,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA POSTERIOR CON INSTRUMENTACION SIMPLE (97),330,,ARTICULO 1,01214
793947,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA POSTERIOR CON INSTRUMENTACION MODULAR (97),330,,ARTICULO 1,01214
792931,REDUCCIÓN ABIERTA FRACTURA SIN FIJACION DE COLUMNA CERVICAL VIA ANTERIOR,360,,ARTICULO 1,01215
792935,REDUCCIÓN ABIERTA FRACTURA SIN FIJACION DE COLUMNA TORACICA O LUMBAR,360,,ARTICULO 1,01215
793935,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),375,,ARTICULO 1,01215
793936,REDUCCION DE FRACTURA OCCIPITOCERVICAL VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),375,,ARTICULO 1,01215
793940,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),375,,ARTICULO 1,01215
793941,REDUCCION DE FRACTURA COLUMNA CERVICAL EN C1 VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),375,,ARTICULO 1,01215
793944,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97),375,,ARTICULO 1,01215
793945,REDUCCION DE FRACTURA COLUMNA CERVICAL POR DEBAJO DE C2 VIA ANTERIOR CON INSTRUMENTACION MODULAR (97),375,,ARTICULO 1,01215
793950,"REDUCCIÓN ABIERTA DE FRACTURA DE COLUMNA VERTEBRAL [TORACICA, LUMBAR O SACRA] VIA ANTERIOR CON INSTRUMENTACION SIMPLE (97)",475,,ARTICULO 1,01216
793951,"REDUCCIÓN ABIERTA DE FRACTURA DE COLUMNA VERTEBRAL [TORACICA, LUMBAR O SACRA] VIA ANTERIOR CON INSTRUMENTACION MODULAR (97)",475,,ARTICULO 1,01216
028400,COLOCACION DE TRACTOR CEFALICO [HALO CHALECO] SOD,55,,ARTICULO 1,01217
028500,EXTRACCIÓN DE TRACTOR CEFALICO [HALO CHALECO] SOD,35,,ARTICULO 1,01217
030101,EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINECTOMIA,220,,ARTICULO 1,01218
030102,EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR HEMILAMINECTOMIA,220,,ARTICULO 1,01218
030103,EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINOTOMIA,220,,ARTICULO 1,01218
035402,ESQUIRLECTOMIA CON PLASTIA O INJERTO DE MENINGE ESPINAL,300,,ARTICULO 1,01218
383501,"RESECCION CON ANASTOMOSIS EN VASOS ESPINALES, SEGMENTO CERVICAL (77)",585,,ARTICULO 1,01220
383502,"RESECCION CON ANASTOMOSIS EN VASOS ESPINALES, SEGMENTO TORACICO (77)",510,,ARTICULO 1,01221
383503,"RESECCION CON ANASTOMOSIS EN VASOS ESPINALES, SEGMENTO LUMBOSACRO (77)",460,,ARTICULO 1,01222
030401,DRENAJE DE COLECCION EPIDURAL POR LAMINOTOMIA,275,,ARTICULO 1,01223
030402,DRENAJE DE COLECCION EPIDURAL POR LAMINECTOMIA,275,,ARTICULO 1,01223
776931,ESCISIÓN DE TUMOR (BENIGNO O MALIGNO) EN COLUMNA VERTEBRAL VIA,220,,ARTICULO 1,01230
776932,ESCISIÓN DE TUMOR (BENIGNO O MALIGNO) SACROCOCCIGEO VIA ANTERIOR,300,,ARTICULO 1,01230
776933,ESCISIÓN DE TUMOR (BENIGNO O MALIGNO) SACROCOCCIGEO VIA POSTERIOR O,220,,ARTICULO 1,01230
